endTime,artistName,trackName,msPlayed
2020-11-23 12:07,Charlie Puth,How Long,200853
2020-11-23 12:11,Ariana Grande,34+35,173710
2020-11-23 12:15,Harry Styles,Falling,240133
2020-11-23 12:17,Zedd,Good Thing (with Kehlani),75102
2020-11-23 12:20,KAROL G,BICHOTA,178946
2020-11-23 12:25,Bad Bunny,DÁKITI,205090
2020-11-23 12:28,Manuel Turizo,La Nota,216107
2020-11-23 12:31,Sebastian Yatra,Chica Ideal,183240
2020-11-23 12:32,Sech,Relación - Remix,51127
2020-11-23 12:42,Angèle,Oui ou non,13514
2020-11-23 12:44,Madison Beer,Dear Society,1591
2020-11-23 12:44,Mae Muller,HFBD,148343
2020-11-23 13:05,Madison Beer,Dear Society,177985
2020-11-23 13:08,Mae Muller,Jenny,175483
2020-11-23 13:11,Olivia Dean,The Hardest Part,176040
2020-11-23 13:14,bülow,Get Stüpid,172800
2020-11-23 13:15,Madison Beer,Baby - Syn Cole Remix,90002
2020-11-23 13:19,Madison Beer,Baby - Syn Cole Remix,183030
2020-11-23 13:22,Carlie Hanson,Daze Inn,158939
2020-11-23 13:24,Becky Hill,Better Off Without You (feat. Shift K3Y),119918
2020-11-23 13:26,UPSAHL,Drugs,134212
2020-11-23 13:32,Griff,Good Stuff,10916
2020-11-23 13:32,Becky Hill,Space,13923
2020-11-23 13:32,UPSAHL,Drugs,10126
2020-11-23 13:33,Carlie Hanson,Side Effects,83035
2020-11-26 14:43,Sech,Relación - Remix,253872
2020-11-26 14:47,Maluma,Hawái - Remix,200481
2020-11-26 14:50,Rauw Alejandro,De Cora <3,190100
2020-11-26 14:53,Camilo,Vida de Rico,187426
2020-11-26 14:57,Ozuna,Una Locura,230693
2020-11-27 03:21,Carlie Hanson,Side Effects,70180
2020-11-27 03:31,Carlie Hanson,Side Effects,35521
2020-11-27 03:32,Maisie Peters,Sad Girl Summer,95694
2020-11-27 03:33,Kiana Ledé,EX,67967
2020-11-27 03:34,Maisie Peters,Adore You,13952
2020-11-27 03:34,Amber Mark,Thong Song,8891
2020-11-27 03:36,Madison Beer,Home with You,132390
2020-11-27 03:37,Charlotte Lawrence,Why Do You Love Me,71993
