song_id,track_name,album_name,uri_id,release_date,explicit,type,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6aGGHqkuWwa43tzIGBBFAt,Deve ser horrível dormir sem mim,Deve ser horrível dormir sem mim,spotify:track:6aGGHqkuWwa43tzIGBBFAt,2021-12-03,False,track,0,0.698,0.722,-6.571,0.146,0.0134,1.03e-05,0.115,0.753,126.739
3ExgP2Oq27CoiZYWklkBpy,Let Me Be The One,Let Me Be The One,spotify:track:3ExgP2Oq27CoiZYWklkBpy,2020-05-21,False,track,61,0.621,0.612,-5.34,0.106,0.396,0,0.123,0.479,173.807
72QFaPZ6UETDfWU5NR3D0W,Something in Your Eyes,What the Future Holds,spotify:track:72QFaPZ6UETDfWU5NR3D0W,2020-11-27,False,track,50,0.602,0.825,-4.6,0.0304,0.000106,0,0.0615,0.588,126.991
0SWVKG9dVSv0s1qdJKxp5c,pocket locket,parallel universe pt. 1,spotify:track:0SWVKG9dVSv0s1qdJKxp5c,2021-05-14,False,track,44,0.609,0.741,-4.719,0.0713,0.144,1.6e-05,0.0852,0.609,83.015
3DXdjHnePKnh6oXw2ZgGSl,Smile,Smile,spotify:track:3DXdjHnePKnh6oXw2ZgGSl,2020-07-10,False,track,66,0.783,0.912,-3.713,0.243,0.0238,0,0.339,0.749,98.025
1rfWIFXx5IVEpUtZJNGRCy,Love Songs,Love Songs,spotify:track:1rfWIFXx5IVEpUtZJNGRCy,2021-06-18,False,track,62,0.709,0.739,-5.59,0.0569,0.0315,0,0.0381,0.613,123.007
1ZnNc4FfSIoj0GxfQSYsvv,Love Of Your Life,Love Of Your Life,spotify:track:1ZnNc4FfSIoj0GxfQSYsvv,2020-11-20,True,track,58,0.622,0.84,-5.136,0.0751,0.00178,1.97e-06,0.227,0.432,111.971
6askNd1HGYepJQaWF1A2yN,Mon précieux,L'Everest,spotify:track:6askNd1HGYepJQaWF1A2yN,2017-09-01,False,track,22,0.816,0.644,-6.442,0.0485,0.106,0,0.237,0.736,122.048
02kzgVGKmlwCwrrNUxk7Jy,Getaway,Getaway,spotify:track:02kzgVGKmlwCwrrNUxk7Jy,2021-04-16,False,track,27,0.889,0.607,-6.834,0.0671,0.093,0,0.113,0.851,135.001
1mpD5Q8IM32I4bF6eCpU74,Up All Night,Up All Night,spotify:track:1mpD5Q8IM32I4bF6eCpU74,2019-11-14,False,track,68,0.665,0.712,-7.536,0.0527,0.00103,0.00333,0.102,0.669,93.992
